2000,56,1,1,0
2000,52,1,1,0
2000,82,1,1,1
2000,37,1,1,0
2000,43,1,1,0
2000,79,1,1,1
2000,53,1,1,0
2000,43,1,1,0
2000,42,1,1,0
2000,47,1,1,0
2000,52,1,1,0
2000,48,1,1,0
2000,51,1,1,0
2000,51,1,1,0
2000,46,1,1,0
2000,49,1,1,0
2000,61,1,1,0
2000,91,1,1,1
2000,53,1,1,0
2000,58,1,1,0
2000,59,1,1,0
2000,60,1,1,0
2000,34,1,1,0
2000,53,1,1,0
2000,49,1,1,0
2000,47,1,1,0
2000,51,1,1,0
2000,49,1,1,0
2000,130,1,1,2
2000,39,1,1,0
2000,43,1,1,0
2000,46,1,1,0
2000,52,1,1,0
2000,41,1,1,0
2000,53,1,1,0
2000,69,1,1,1
2000,48,1,1,0
2000,118,1,1,2
2000,48,1,1,0
2000,43,1,1,0
2000,43,1,1,0
2000,80,1,1,1
2000,46,1,1,0
2000,46,1,1,0
2000,49,1,1,0
2000,76,1,1,0
2000,54,1,1,0
2000,37,1,1,0
2000,79,1,1,1
2000,47,1,1,0
900,122,1,1,2
900,71,1,1,1
900,55,1,1,0
900,46,1,1,0
900,41,1,1,0
900,76,1,1,1
900,43,1,1,0
900,66,1,1,1
900,65,1,1,1
900,54,1,1,0
900,43,1,1,0
900,46,1,1,0
900,39,1,1,0
900,61,1,1,0
900,36,1,1,0
900,75,1,1,1
900,51,1,1,0
900,42,1,1,0
900,66,1,1,1
900,39,1,1,0
900,43,1,1,0
900,49,1,1,0
900,51,1,1,0
900,57,1,1,0
900,36,1,1,0
900,38,1,1,0
900,94,1,1,1
900,40,1,1,0
900,54,1,1,0
900,40,1,1,0
900,43,1,1,0
900,36,1,1,0
900,49,1,1,0
900,41,1,1,0
900,46,1,1,0
900,40,1,1,0
900,87,1,1,1
900,49,1,1,0
900,49,1,1,0
900,46,1,1,0
900,46,1,1,0
900,99,1,1,2
900,50,1,1,0
900,58,1,1,0
900,36,1,1,0
900,36,1,1,0
900,59,1,1,0
900,44,1,1,0
900,43,1,1,0
900,34,1,1,0
950,81,1,1,1
950,47,1,1,0
950,39,1,1,0
950,58,1,1,0
950,51,1,1,0
950,45,1,1,0
950,42,1,1,0
