950,20,121,1,1,1
950,20,90,1,1,1
950,20,65,1,1,1
950,20,102,1,1,1
950,20,80,1,1,1
950,20,64,1,1,1
950,20,82,1,1,1
950,20,76,1,1,1
950,20,65,1,1,1
950,20,74,1,1,1
950,20,146,1,1,2
950,20,69,1,1,1
950,20,78,1,1,1
950,20,74,1,1,1
950,20,78,1,1,1
950,20,81,1,1,1
950,20,84,1,1,1
950,20,71,1,1,1
950,20,94,1,1,1
950,20,80,1,1,1
950,20,109,1,1,1
950,20,78,1,1,1
950,20,70,1,1,1
950,20,71,1,1,1
950,20,90,1,1,1
950,20,73,1,1,1
950,20,97,1,1,1
950,20,66,1,1,1
950,20,90,1,1,1
950,20,134,1,1,2
950,20,84,1,1,1
950,20,91,1,1,1
950,20,85,1,1,1
950,20,85,1,1,1
950,20,85,1,1,1
950,20,67,1,1,1
950,20,86,1,1,1
950,20,111,1,1,2
950,20,78,1,1,1
950,20,84,1,1,1
950,20,82,1,1,1
950,20,87,1,1,1
950,20,81,1,1,1
950,20,86,1,1,1
950,20,79,1,1,1
950,20,127,1,1,2
950,20,73,1,1,1
950,20,84,1,1,1
950,20,81,1,1,1
950,20,68,1,1,1
